category,date,model,paper,author,organization,paper_url,publication,project,jupyter_note,summary,detail
Downstream Task,2025/4/24,Step1X-Edit,Step1X-Edit: A Practical Framework for General Image Editing,Step1X-Image Team,StepFun,https://arxiv.org/pdf/2504.17761,arXiv 2025,https://github.com/stepfun-ai/Step1X-Edit/,,"Use a <b>MLLM to generate condition embedding</b> of the reference image and user's editing instruction, trained on 20M instruction-image data for <u>image generation editing</u>.","<ul>
    <li>1M images & 20M instruction-image data.
    <li><b>Data construction.</b> <u>Subject addition & removal:</u> Floerence for detection & classification; SAM-2 for segmentation; ObjectRemovalAlpha for inpainting. <u>Subject replacement & background change:</u> Floerence for detection & classification; SAM-2 for segmentation; Qwen-2.5-VL & Recognize-Anything Model & Flux-Fill for content-aware inpainting. <u>Color Alteration & material modification:</u> Floerence for detection & classification; Zeodepth for depth detection; ControlNet for generation. <u>Text modification:</u> PPOCR for OCR recognition. <u>Motion change:</u> BiRefNet & RAFT for foreground-background separation and optical flow estimation. <u>Portrait editing & beautification:</u>. <u>Style transfer:</u> edge-to-image controlled diffusion model. <u>Tone transformation:</u> color grading, dehazing, deraining, seasonal transformations, etc.
    <li><b>Caption strategy.</b> <u>Redundancy-enhanced annotation:</u> multi-round annotation strategy. <u>Stylized annotation via contextual examples:</u> use style-aligned examples as contextual references. <u>Cost-efficient pipeline:</u> use GPT-4o to annotation training data of in-house annotator. <u>Bilingual annotation:</u> Chinese & English.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-04-24-Step1X-Edit-fig1.png' width=900>
                <figcaption>
                    <b>Multimodal large language model:</b> generate embeddings of instruction and reference images; use Qwen-VL.
                    <b>Connector:</b> substitute text embedding; use token refiner.
                    <b>Diffusion Transformer</b>.
                </figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2025/4/15,SimpleAR,"SimpleAR: Pushing the Frontier of Autoregressive Visual Generation through Pretraining, SFT, and RL","Junke Wang, Zhi Tian, Xun Wang, Xinyu Zhang, Weilin Huang, Zuxuan Wu, Yu-Gang Jiang","Fudan University, ByteDance Seed",https://arxiv.org/pdf/2504.11455,arXiv 2025,https://github.com/wdrink/SimpleAR/,,"A <b>vanilla, open-sourced AR</b> model (0.5B) for <u>1K text-to-image generation</u>, trained by pre-training, SFT, RL (GRPO), acceleration (KV cache, vLLM serving, speculative jacobi decoding).","<ul>
    <li> Use <b>Qwen</b> structure, <b>Cosmos</b> visual tokenizer: 64k codebook & 16 ratio downsampling.
    <li> Training stages: (1) <u>512 resolution pretraining</u>; (2) <u>1024 resolution SFT</u>; (3) <u>1024 resolution RL</u>.
    <li> Use <u>LLM initialization does not improve</u> DPG-Bench performance.
    <li> <u>2D RoPE</u> <u>will not improve generation</u>, but is necessary for <u>dynamic resolution generation</u>.
    <li> Use <u>GRPO with CLIP</u> as the reward model improves more than using <u>HPS v2</u>.
</ul>"
Foundation Model & Algorithm,2025/4/15,Seedream 3.0,Seedream 3.0 Technical Report,ByteDance Seed Vision Team,ByteDance,https://arxiv.org/pdf/2504.11346,arXiv 2025,,,"<b>ByteDance Seed Vision Team</b>'s <u>text-to-image</u> generation model (<u>MMDiT structure</u>), improving Seedream 2.0 by defect-aware training, representation alignment, larger reward model.","<ul>
    <li> <u>Defect-aware training:</u> stop gradient on watermarks, subtitles, overlaid text, mosaic pattern.
    <li> <u>Hierarchical clustering</u> balance term and address long-tail distributions.
    <li> Introduce a <u>representation alignment loss</u>: <b>cosine distance between the feature of MMDiT and DINOv2-L</b>.
    <li> Resolution-aware timestep sampling: larger shift to larger resolution training (similar to SD3).
    <li> Find <b>scaling property of VLM-based reward model</b>.
    <li> Other improvements: (1) mixed-resolution training; (2) <u>cross-modality RoPE</u>; (3) diverse aesthetic captions in SFT.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-04-15-Seedream 3.0-fig1.png' width=600>
                <figcaption>Seedream3.0 achieves <b>the best ELO performance</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2025/4/11,Seaweed-7B,Seaweed-7B: Cost-Effective Training of Video Generation Foundation Model,ByteDance Seaweed Team,ByteDance,https://arxiv.org/pdf/2504.08685,arXiv 2025,,,"<b>ByteDance Seaweed Team</b>'s <u>text-to-video</u> & <u>image-to-video</u> generation model (7B) with <u>DiT structure</u>, trained (multi-task learning) on O(100M) video clips using 665K H100 GPU hours.","<table>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig1.png' width=900>
                <figcaption>
                    <b>Video data processing.</b>
                    <br><u>Temporal splitting:</u> internal splitter.
                    <br><u>Spatial cropping:</u> use FFmpeg to remove black border, and develop models for text, logo, watermark, and special effects detection.
                    <br><u>Quality filtering:</u> >256 pixels, within [1/3, 3/1] aspect ratio, not static, camera shake & playback speed, safety, artifact detection. 
                    <br><u>Multi-aspect balancing & deduplication:</u> clustering. 
                    <br><u>Simulation data:</u> graphics engines. 
                    <br><u>Video captioning:</u> a short & a long. 
                    <br><u>System prompt:</u> video type, camera position, camera angle, camera movement, visual style.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig2.png' width=400>
                <figcaption><b>VAE</b>. Use <u>L1 + KL + LPIPS + adversarial loss</u>. Use an <b>image discriminator and a video discriminator</b> performs better than using either one. Downsample by 16x16x4-48c or 8x8x4-16c. <b>Compress information using VAE outperforms patchification in DiT, and faster</b>.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig3.png' width=500>
                <figcaption><b>VAE training stages</b> for images and videos.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig4.png' width=900>
                <figcaption>Use <b>mixed resolution & durations & frame rate</b> VAE training converges slower but performs better than training on low resolution.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig6.png' width=650>
                <figcaption><b>Full attention</b> enjoys training scalability.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig5.png' width=250>
                <figcaption>Hybrid-stream is better than dual-stream.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig7.png' width=600>
                <figcaption><b>Four-stage training procedure.
                <br></b> Use <b>multi-task pre-training</b>: text-to-video, image-to-video, video-to-video. Input features and conditioning features are <u>channel-concatenated</u>, with a <u>binary mask</u> indicating the condition. Ratio of image-to-video is 20% during pre-training, and increasing to 50%-75% detached for fine-tuning.
                <br><b>SFT:</b> use 700K good videos and 50K top videos, the semantic alignment ability drops a little.
                <br><b>RLHF:</b> <u>lr=1e-7</u>, <u>beta=100</u>, select from 4 samples under different seeds.
                <br><b>Distillation:</b> trajectory segmented consistency distillation + CFG distillation + adversarial training, distill to 8 steps.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-04-11-Seaweed-7B-fig8.png' width=400>
                <figcaption><b>Image-to-video ELO performance.</b></figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2025/3/26,Wan,Wan: Open and Advanced Large-Scale Video Generative Models,Tongyi Wanxiang,Alibaba,https://arxiv.org/pdf/2503.20314,arXiv 2025,https://github.com/Wan-Video/Wan2.1/,,"<b>Alibaba Tongyi Wanxiang</b>'s <b>open-sourced</b> model (14B) for <u>text-to-video & image-to-video generation</u>, using <u>DiT structure</u>.","<table>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-03-26-Wan-fig1.png' width=900>
                <figcaption>
                    <b>Data procssing pipeline</b>. 
                    <br><u>Fundamental dimensions:</u> text, aesthetic, NSFW score, watermark & logo, black border, overexposure, synthetic image, blur, duration & resolution.
                    <br><u>Visual quality:</u> clustering, scoring.
                    <br><u>Motion quality:</u> optimal motion, medium-quality motion, static videos, camera-driven motion, low-quality motion, shaky camera footage.
                    <br><b>Visual text data:</b> hundreds of millions of text-containing images by rendering Chinese characters on a pure white background and large amounts from real-world data.
                    <br><u>Captions:</u> celebrities, landmarks, movie characters, object counting, OCR, camera angle and motion, fine-grained categories, relational understanding, re-caption, editing instruction caption, group image description, human-annotated image and video captions.
                </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-03-26-Wan-fig2.png' width=700>
                <figcaption><b>VAE with 8x8x4 compression ratio</b> is trained by L1 reconstruction loss + KL loss + LPIPS perceptual loss. </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-03-26-Wan-fig3.png' width=600>
                <figcaption><b>Architecture</b>. Text prompt is encoded by <u>umT5</u> and injected into model by <u>cross-attention</u>; timestep is embedded by MLP; using flow-matching loss. Image pre-training -> image-video joint training. </figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-03-26-Wan-fig4.png' width=300>
                <figcaption><b>Transformer blocks</b>. </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-03-26-Wan-fig5.png' width=600>
                <figcaption><b>I2V framework.</b> Image condition is injected through <u>channel-concat</u> and <b>CLIP image encoder</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2025/3/14,Step-Video-TI2V,Step-Video-TI2V Technical Report: A State-of-the-Art Text-Driven Image-to-Video Generation Model,Step-Video Team,StepFun,https://arxiv.org/pdf/2503.11251,arXiv 2025,https://github.com/stepfun-ai/Step-Video-TI2V/,,"<b>StepFun</b>'s <b>open-sourced</b> model (30B) for <u>image-to-video generation</u>, trained upon Step-Video-T2V, by using channel-concat image condition, and timestep-combined motion condition.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-03-14-Step-Video-TI2V-fig1.png' width=700>
                <figcaption>
                    <b>Image condition:</b> <u>channel-wise concatenation</u> of noised data and <b>noise-augmented</b> and zero-padded image condition.
                    <br><b>Motion condition:</b> motion is extracted using optical flow and is <b>combined with timestep</b>. </figcaption>
            </figure>
        </td>
    </tr>
</table>"
Survey & Insight,2025/3/10,Inference Beat Pretraining,Ideas in Inference-time Scaling can Benefit Generative Pre-training Algorithms,"Jiaming Song, Linqi Zhou",Luma AI,https://arxiv.org/pdf/2503.07154,arXiv 2025,,,"Analyze generative pre-training algorithm design from an <b>inference-first perspective</b>, and scaling inference from a unified perspective of scaling <u>sequence length & refinement steps</u>.","<ul>
    <li> Pre-training algorithms should have inference-scalability in <b>sequence length & refinement steps</b>.
    <li> Algorithms should <b>scale training efficiently</b> by reduing inference computation.
    <li> One should verify whether the model has <b>enough capacity to represent the target distribution</b> during inference.
    <li> <u>Not scalable in either sequence length or refinement steps:</u> VAE, GAN, Normalizing Flows.
    <li> <u>Scalable in sequence length but not refinement steps:</u> GPT, PixelCNN, MaskGiT, VAR.
    <li> <u>Scalable in refinement steps but not in sequence length:</u> diffusion models, energy-based models, consistency models.
    <li> <u>Scalable in both, with sequence length in the outer loop:</u> AR-Diffusion, Rolling diffusion, MAR.
    <li> <u>Scalable in both, with refinement steps in the outer loop:</u> autoregression distribution smoothing.
</ul>"
Foundation Model & Algorithm,2025/3/10,Seedream2.0,Seedream 2.0: A Native Chinese-English Bilingual Image Generation Foundation Model,ByteDance's Seed Vision Team,ByteDance's Seed Vision Team,https://arxiv.org/pdf/2503.07703,arXiv 2025,,,"<b>ByteDance Sead Vision Team</b> 's foundation model for <u>image genertion</u> with native <u>Chinese-English</u> bilingual capability, where some techniques such as scaled RoPE, SFT, RLHF are employed.","<ul>
    <li> Use a <u>self-developed bilingual LLM</u> and Glyph-Aligned <b>ByT5</b> as text encoders.
    <li> Use a <u>self-developed VAE</u>.
    <li> Use <u>learned positional embeddings on text tokens</u> & <u>scaled 2D RoPE on image tokens</u>.
    <li> <u>Continue training</u>, <u>supervised fine-tuning</u>, <u>human feedback alignment</u>.
    <li> It has been incorporated into Doubao (豆包) and Dreamina (即梦).
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig1.png' width=650>
                <figcaption><b>Performance</b> with English and Chinese prompts.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig2.png' width=350>
        <figcaption><b>Pre-training data system</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig6.png' width=500>
                <figcaption><b>Model structure</b> is designed following <b>SD3</b>.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig3.png' width=500>
                <figcaption><b>Data cleaning process</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig4.png' width=900>
                <figcaption><b>Generic captions:</b> long & short; <b>specialied captions:</b> style, color, composition, light, textual; <b>surreal captions:</b> surreal & fantastical aspects. </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-03-10-Seedream2.0-fig5.png' width=700>
                <figcaption>Overview of <b>training</b> and <b>inference</b> stages.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2025/3/7,UnifiedReward,Unified Reward Model for Multimodal Understanding and Generation,"Yibin Wang, Yuhang Zang, Hao Li, Cheng Jin, Jiaqi Wang","Fudan University, Shanghai Innovation Institute, Shanghai AI Lab, Shanghai Academy of Artificial Intelligence for Science",https://arxiv.org/pdf/2503.05236,arXiv 2025,https://github.com/CodeGoat24/UnifiedReward/,,A unified reward model for both <b>multimodal understanding & generation evaluation</b> by <u>pairwise ranking & pointwise scoring</u>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-03-07-UnifiedReward-fig2.png' width=700>
                <figcaption>Pipeline: (1) <b>Unified Reward Model Training:</b> train a unified reward model for <u>generation & understanding</u> tasks using pointwise <u>scoring & pairwise ranking</u>; (2) <b>Preference Data Construction:</b> data generation, pairwise ranking, pointwise filtering; (3) <b>Generation/Understanding Model Alignment:</b> DPO. The trained model is initialized from <b>LLaVA-OneVision 7B (OV-7B)</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Inference-Time Improvement,2025/2/24,IGTR,Autoregressive Image Generation Guided by Chains of Thought,"Miaomiao Cai, Guanjie Wang, Wei Li, Zhijun Tu, Hanting Chen, Shaohui Lin, Jie Hu","University of Science and Technology of China, Huawei Noah's Ark Lab, East China Normal University",https://arxiv.org/pdf/2502.16965,arXiv 2025,,,Insert reasoning prompts to improve <u>auto-regressive image generation</u> performance by <b>Chain-of-Thought</b>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-02-24-IGTR-fig1.png' width=400>
                <figcaption>Take an image in the same class as a <b>Class Reasoning Prompt</b> or indices from codebook of image tokenizer as a <b>Universal Reasoning Prompt</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
